make_numerico,model,fuel,gear,hp,year
19,C5,Diesel,Manual,140.0,2014
19,C3 Picasso,Diesel,Manual,99.0,2015
13,Scudo,Diesel,Manual,128.0,2015
10,B 160,Diesel,Manual,90.0,2015
2,T5,Diesel,Automatic,140.0,2015
1,114,Diesel,Manual,95.0,2015
19,DS5,Diesel,Manual,150.0,2015
39,XV,Gasoline,Automatic,114.0,2015
2,T5 Transporter,Diesel,Manual,102.0,2015
21,SX4,Gasoline,Manual,120.0,2015
4,Laguna,Diesel,Manual,173.0,2015
20,Q50,Diesel,Automatic,170.0,2015
13,Freemont,Diesel,Manual,170.0,2015
5,207,Gasoline,Manual,120.0,2015
3,Altea,Diesel,Manual,105.0,2015
39,OUTBACK,Gasoline,Automatic,175.0,2015
19,DS4,Gasoline,Manual,131.0,2015
16,Cooper Countryman,Gasoline,Manual,122.0,2015
48,Martin Vantage,Gasoline,Automatic,572.0,2015
2,T5 Caravelle,Diesel,Manual,140.0,2015
25,V70,Diesel,Automatic,215.0,2015
40,Challenger,Gasoline,Automatic,309.0,2015
17,iX35,Diesel,Manual,116.0,2015
2,Amarok,Diesel,Manual,140.0,2015
49,Ghost,Gasoline,Automatic,571.0,2015
5,Bipper,Diesel,Manual,75.0,2015
2,Phaeton,Gasoline,Automatic,334.0,2015
2,T5 Multivan,Diesel,Automatic,179.0,2015
10,CLS 400,Gasoline,Automatic,333.0,2015
13,Ducato,Diesel,Manual,116.0,2015
10,CLS 220,Diesel,Automatic,170.0,2015
33,GS 450h,Electric/Gasoline,Automatic,345.0,2015
10,GL 63 AMG,Gasoline,Automatic,557.0,2015
18,Roomster,Gasoline,Manual,69.0,2015
31,Lancer,Gasoline,Manual,117.0,2015
2,CC,Gasoline,Automatic,299.0,2015
5,107,Gasoline,Manual,68.0,2015
10,CLS 350,Diesel,Automatic,258.0,2016
7,Antara,Diesel,Manual,170.0,2016
59,Ape,Gasoline,Manual,11.0,2016
56,488,Gasoline,Automatic,670.0,2016
22,Korando,Diesel,Automatic,178.0,2016
2,Golf Cabriolet,Gasoline,Automatic,125.0,2016
10,SLK 300,Gasoline,Automatic,245.0,2016
10,S 500,Gasoline,Automatic,455.0,2016
22,Tivoli,Gasoline,Manual,128.0,2016
40,Dart,Gasoline,Automatic,188.0,2016
2,Polo GTI,Gasoline,Manual,192.0,2016
17,Genesis,Gasoline,Automatic,315.0,2016
19,Nemo,Diesel,Manual,75.0,2016
28,NV200,Diesel,Manual,110.0,2016
16,Cooper Clubman,Gasoline,Automatic,136.0,2016
53,Automobiles DS 5,Diesel,Automatic,181.0,2016
10,GLE 450,Gasoline,Automatic,367.0,2016
25,XC70,Diesel,Manual,163.0,2016
55,JS 50,Diesel,Automatic,5.0,2016
18,Yeti,Gasoline,Automatic,110.0,2016
29,HR-V,Gasoline,Manual,131.0,2016
1,125,Gasoline,Automatic,224.0,2016
12,RS Q3,Gasoline,Automatic,430.0,2016
1,M6,Gasoline,Automatic,600.0,2016
2,Scirocco,Gasoline,Automatic,179.0,2016
7,Movano,Diesel,Manual,131.0,2016
5,Partner,Diesel,Manual,75.0,2016
4,Rapid,Gasoline,Manual,114.0,2016
38,Romeo MiTo,Diesel,Manual,95.0,2016
19,Jumper,Diesel,Manual,131.0,2016
7,Zafira Tourer,Diesel,Automatic,131.0,2016
29,Odyssey,Gasoline,Automatic,283.0,2016
10,GLS 350,Diesel,Automatic,258.0,2017
1,X6 M,Gasoline,Automatic,575.0,2017
1,i8,Electric/Gasoline,Automatic,362.0,2017
68,B7,Gasoline,Automatic,608.0,2017
48,Martin Rapide,Gasoline,Automatic,560.0,2017
47,570S,Gasoline,Automatic,570.0,2017
5,iOn,Electric,Automatic,48.0,2017
17,H-1,Diesel,Automatic,170.0,2017
10,G 350,Diesel,Automatic,245.0,2017
19,C-Elysée,Gasoline,Manual,116.0,2017
7,Meriva,Gasoline,Manual,140.0,2017
28,Pulsar,Diesel,Manual,110.0,2017
12,RS7,Gasoline,Automatic,605.0,2017
16,One D Clubman,Diesel,Manual,116.0,2017
29,NSX,Gasoline,Automatic,581.0,2017
4,Twizy,Electric,Automatic,11.0,2017
41,M.Go,Diesel,Automatic,8.0,2017
28,Note,Gasoline,Manual,98.0,2017
13,124 Spider,Gasoline,Manual,140.0,2017
9,B-Max,Gasoline,Automatic,105.0,2017
19,DS3,Gasoline,Automatic,110.0,2017
1,325,Diesel,Automatic,224.0,2017
16,Cooper S Cabrio,Gasoline,Automatic,192.0,2017
14,Soul,Diesel,Automatic,136.0,2017
10,E 250,Gasoline,Automatic,211.0,2017
48,Martin,Gasoline,Automatic,604.0,2017
10,GLE 250,Diesel,Automatic,204.0,2017
1,335,Diesel,Automatic,313.0,2017
44,Model X,Electric,Automatic,333.0,2017
68,B5,Gasoline,Automatic,608.0,2017
30,Kalina,Gasoline,Manual,98.0,2017
16,Cooper S Clubman,Gasoline,Manual,192.0,2017
1,418,Diesel,Manual,150.0,2017
44,Model S,Electric,Automatic,532.0,2017
10,GLA 220,Diesel,Automatic,177.0,2017
10,GLC 220,Diesel,Automatic,170.0,2017
